"Row","Group","Emoji","Name","Code Point","Windows Input","HTML Entity","macOS Input"
"90","Smileys & Emotion","😨","E0.6 fearful face","U+1F628","Type 1F628, then Alt+X","&#x1F628;","⌃⌘Space → type name and select"
"91","Smileys & Emotion","😰","E0.6 anxious face with sweat","U+1F630","Type 1F630, then Alt+X","&#x1F630;","⌃⌘Space → type name and select"
"92","Smileys & Emotion","😥","E0.6 sad but relieved face","U+1F625","Type 1F625, then Alt+X","&#x1F625;","⌃⌘Space → type name and select"
"93","Smileys & Emotion","😢","E0.6 crying face","U+1F622","Type 1F622, then Alt+X","&#x1F622;","⌃⌘Space → type name and select"
"94","Smileys & Emotion","😭","E0.6 loudly crying face","U+1F62D","Type 1F62D, then Alt+X","&#x1F62D;","⌃⌘Space → type name and select"
"95","Smileys & Emotion","😱","E0.6 face screaming in fear","U+1F631","Type 1F631, then Alt+X","&#x1F631;","⌃⌘Space → type name and select"
"96","Smileys & Emotion","😖","E0.6 confounded face","U+1F616","Type 1F616, then Alt+X","&#x1F616;","⌃⌘Space → type name and select"
"97","Smileys & Emotion","😣","E0.6 persevering face","U+1F623","Type 1F623, then Alt+X","&#x1F623;","⌃⌘Space → type name and select"
"98","Smileys & Emotion","😞","E0.6 disappointed face","U+1F61E","Type 1F61E, then Alt+X","&#x1F61E;","⌃⌘Space → type name and select"
"99","Smileys & Emotion","😓","E0.6 downcast face with sweat","U+1F613","Type 1F613, then Alt+X","&#x1F613;","⌃⌘Space → type name and select"
"100","Smileys & Emotion","😩","E0.6 weary face","U+1F629","Type 1F629, then Alt+X","&#x1F629;","⌃⌘Space → type name and select"
"101","Smileys & Emotion","😫","E0.6 tired face","U+1F62B","Type 1F62B, then Alt+X","&#x1F62B;","⌃⌘Space → type name and select"
"102","Smileys & Emotion","🥱","E12.0 yawning face","U+1F971","Type 1F971, then Alt+X","&#x1F971;","⌃⌘Space → type name and select"
"103","Smileys & Emotion","😤","E0.6 face with steam from nose","U+1F624","Type 1F624, then Alt+X","&#x1F624;","⌃⌘Space → type name and select"
"104","Smileys & Emotion","😡","E0.6 enraged face","U+1F621","Type 1F621, then Alt+X","&#x1F621;","⌃⌘Space → type name and select"
"105","Smileys & Emotion","😠","E0.6 angry face","U+1F620","Type 1F620, then Alt+X","&#x1F620;","⌃⌘Space → type name and select"
"106","Smileys & Emotion","🤬","E5.0 face with symbols on mouth","U+1F92C","Type 1F92C, then Alt+X","&#x1F92C;","⌃⌘Space → type name and select"
"107","Smileys & Emotion","😈","E1.0 smiling face with horns","U+1F608","Type 1F608, then Alt+X","&#x1F608;","⌃⌘Space → type name and select"
"108","Smileys & Emotion","👿","E0.6 angry face with horns","U+1F47F","Type 1F47F, then Alt+X","&#x1F47F;","⌃⌘Space → type name and select"
"109","Smileys & Emotion","💀","E0.6 skull","U+1F480","Type 1F480, then Alt+X","&#x1F480;","⌃⌘Space → type name and select"
"110","Smileys & Emotion","☠️","E1.0 skull and crossbones","U+2620 U+FE0F","Type 2620FE0F, then Alt+X","&#x2620; &#xFE0F;","⌃⌘Space → type name and select"
"111","Smileys & Emotion","☠","E1.0 skull and crossbones","U+2620","Type 2620, then Alt+X","&#x2620;","⌃⌘Space → type name and select"
"112","Smileys & Emotion","💩","E0.6 pile of poo","U+1F4A9","Type 1F4A9, then Alt+X","&#x1F4A9;","⌃⌘Space → type name and select"
"113","Smileys & Emotion","🤡","E3.0 clown face","U+1F921","Type 1F921, then Alt+X","&#x1F921;","⌃⌘Space → type name and select"
"114","Smileys & Emotion","👹","E0.6 ogre","U+1F479","Type 1F479, then Alt+X","&#x1F479;","⌃⌘Space → type name and select"
"115","Smileys & Emotion","👺","E0.6 goblin","U+1F47A","Type 1F47A, then Alt+X","&#x1F47A;","⌃⌘Space → type name and select"
"116","Smileys & Emotion","👻","E0.6 ghost","U+1F47B","Type 1F47B, then Alt+X","&#x1F47B;","⌃⌘Space → type name and select"
"117","Smileys & Emotion","👽","E0.6 alien","U+1F47D","Type 1F47D, then Alt+X","&#x1F47D;","⌃⌘Space → type name and select"
"118","Smileys & Emotion","👾","E0.6 alien monster","U+1F47E","Type 1F47E, then Alt+X","&#x1F47E;","⌃⌘Space → type name and select"
"119","Smileys & Emotion","🤖","E1.0 robot","U+1F916","Type 1F916, then Alt+X","&#x1F916;","⌃⌘Space → type name and select"
"120","Smileys & Emotion","😺","E0.6 grinning cat","U+1F63A","Type 1F63A, then Alt+X","&#x1F63A;","⌃⌘Space → type name and select"
"121","Smileys & Emotion","😸","E0.6 grinning cat with smiling eyes","U+1F638","Type 1F638, then Alt+X","&#x1F638;","⌃⌘Space → type name and select"
"122","Smileys & Emotion","😹","E0.6 cat with tears of joy","U+1F639","Type 1F639, then Alt+X","&#x1F639;","⌃⌘Space → type name and select"
"123","Smileys & Emotion","😻","E0.6 smiling cat with heart-eyes","U+1F63B","Type 1F63B, then Alt+X","&#x1F63B;","⌃⌘Space → type name and select"
"124","Smileys & Emotion","😼","E0.6 cat with wry smile","U+1F63C","Type 1F63C, then Alt+X","&#x1F63C;","⌃⌘Space → type name and select"
"125","Smileys & Emotion","😽","E0.6 kissing cat","U+1F63D","Type 1F63D, then Alt+X","&#x1F63D;","⌃⌘Space → type name and select"
"126","Smileys & Emotion","🙀","E0.6 weary cat","U+1F640","Type 1F640, then Alt+X","&#x1F640;","⌃⌘Space → type name and select"
"127","Smileys & Emotion","😿","E0.6 crying cat","U+1F63F","Type 1F63F, then Alt+X","&#x1F63F;","⌃⌘Space → type name and select"
